cuenta;area
3008661;1066
3008992;1878
3010048;225
301650;2647.176456
3018116;1990
302050;3310.973523
31138-3;557.72681
332357-9;981.698684
33451;1515.684036
34626;329.826768
348300;721.082592
348303;1233.778929
35558-5;521
3669;3000
37591;240.395866
37601;1770
37673;870.767871
40260;190.817281
40281;2100
4039822-8;1536.729532
4045456-K;2301.401892
4055273-1;6604.553087
4061260-2;607.777746
4061343-9;2076.80819
4067229-K;202.822986
407920;502.28595
4080297-5;1149.720882
40876;207.930523
4103529-3;6255.682874
4110185-7;174.311505
41287;1649.265102
4153706-K;232.415339
4215570-5;234.788934
42260-6;4382
4250700-8;828.521854
42556;278.198361
42777;237.097248
42816;1567.753473
432647-4;2919.072372
439318-K;491.205619
44515;873.237633
446466-4;3575.13596
454903;4109.730442
45876-7;2152.751458
46332-9;5567
475188-4;63.445187
47799-0;2209
48-5;1774.09209
4868;364.785676
4899;1667.75849
489941-5;600.429627
5005770-4;6591.07501
5005794-1;2262.479324
50059-3;2500
5006073-K;82.711859
5007707-1;424.642426
5009399-9;536.410404
5009761-7;194.822858
5011293-4;9557.030763
50889;77.016283
510588-9;1137.943303
51682;1018
521866-7;282.589051
5254-K;4545.441508
52843;1546
530810-0;2958.920289
5410;2159.85255
54309;3390.673785
54335;576.418044
55325;973.904277
55622-K;938.280676
55685-8;2209
57-4;28000
574417-2;8973
574772-4;1260.30718
574887-9;1414.732122
574991-3;325.819704
574997-2;235.29953
575086-5;864.702327
575095-4;74.23851
575115-2;442.324193
575167-5;982.549848
575176-4;625.971514
575183-7;2806.143606
57524-0;3000
575277-9;5157.854458
575284-1;1980.570716
575293-0;720
575348-1;6779.61933
575381-3;2208.295747
575385-6;1921.723364
575392-9;1263.863414
575415-1;10537.445469
575420-8;789.24889
575423-2;1993.507572
575502-6;2183.136087
575508-5;3167.734152
575532-8;452.350255
575548-4;7875.084996
575557-3;4481.660787
575580-8;2763.651151
575594-8;21081.097655
575610-3;4382
575627-8;2345.408547
575684-7;2985.9
575733-9;2016.320765
575756-8;32824.897077
575758-4;2957.717608
575802-5;8704.024464
575810-6;2471.180598
576045-3;0
576048-8;0
576052-6;0
576056-9;0
576064-K;0
576075-5;0
576087-9;0
576091-7;0
576093-3;0
576095-K;0
576097-6;0
576099-2;0
576107-7;0
576109-3;0
576111-5;0
576112-3;0
576114-K;0
576115-8;0
576116-6;0
576117-4;0
576118-2;0
576119-0;0
576120-4;0
576124-7;0
576127-1;0
576128-K;0
576224-3;1292.856736
576229-4;1712.755443
576232-4;698.79172
576244-8;1032.323134
576246-4;5515.160876
576250-2;1625.15726
576279-0;8690.800518
576290-1;10640.235812
576295-2;1080.647322
576362-2;1013.988924
576656-7;112.182404
576667-2;498.056622
576698-2;67.086828
576700-8;348.362592
576839-K;643.60855
576854-3;303.213812
576865-9;203.94306
576876-4;656.900956
576897-7;790.422168
578328-3;4447.936062
5792;1235
579564-8;286.987074
58380;91.66685
58793;426.792968
600579-9;9450.62374
604702-5;832.112072
610908-K;259.005894
611500;21164.146832
611550;482.320896
612390;1889.140308
612600;827.2866
620642-5;1108.066732
621927-6;2674.94217
623305-8;916.914916
62650;498.78292
62868;255.875638
633012-6;2142.302581
63810;9.028812
641682-9;2713.785862
643718-4;508.320938
65008-0;2399
65053-6;3550
65529;1267.958556
659954-0;163.845814
66013;552.476464
67589;3600.643893
676650;262.797345
682406-4;41203.039392
70243;324
710063-9;1458.816558
71513;800.808052
715449-6;1772.141846
74336;2236.911825
770471-2;59.661438
77566;1359.620984
806011-8;84.09305
80844;1308.736376
822583-4;486.649719
8461;724.127792
85188;590.270208
860800;939.155734
877840;340
880507-5;333.418006
88109;350
8848;902.896282
887603-7;1049.486865
89091;3413.98532
903866;150
907764-2;0
907950;1931
91201-8;748.769419
91448;590.270208
91568;771.910321
917130-4;2961.74235
918010-9;322.651294
935842;170
935847;150
944300;3056
94918;583.380729
950091;320
951076-1;341.21932
95962;218.204401
989259-1;1614.90641
99607;268.047691
